source,term,records,patient_stays
DIAGNOSIS,surgery|renal issues|acute renal failure|due to nephrotoxic agents,2,2
DIAGNOSIS,endocrine|fluids and electrolytes|hypermagnesemia|due to renal insufficiency,2,1
DIAGNOSIS,surgery|renal issues|anuria,2,2
DIAGNOSIS,renal|disorder of acid base|metabolic alkalosis|due to excess bicarbonate administration,2,1
DIAGNOSIS,endocrine|adrenal disorders|hyperaldosteronism|adrenal,2,2
DIAGNOSIS,transplant|s/p kidney transplant|fever - kidney transplant|postop >= 2 weeks,2,1
DIAGNOSIS,renal|disorder of urinary tract / renal system infection|upper urinary tract infection|known fungal,2,1
DIAGNOSIS,cardiovascular|ventricular disorders|hypertension|renal artery stenosis,2,1
DIAGNOSIS,renal|electrolyte imbalance|hypocalcemia|suspected,2,1
DIAGNOSIS,renal|abnormality of urine quantity or quality|diabetes insipidus|central|from primary or metastatic tumor,2,2
DIAGNOSIS,renal|disorder of acid base|respiratory alkalosis|therapeutic hyperventilation,2,2
DIAGNOSIS,renal|disorder of urinary tract|urethritis/urethral syndrome,1,1
DIAGNOSIS,surgery|renal issues|respiratory alkalosis,1,1
DIAGNOSIS,surgery|renal issues|oliguria|low effective intravascular volume,1,1
DIAGNOSIS,surgery|renal issues|anuria|r/o obstruction,1,1
DIAGNOSIS,transplant|s/p kidney transplant|renal artery thrombosis - kidney transplant,1,1
DIAGNOSIS,surgery|renal issues|metabolic acidosis|normal anion gap,1,1
DIAGNOSIS,surgery|cardiac surgery|low cardiac output state|with renal insufficiency,1,1
DIAGNOSIS,renal|electrolyte imbalance|hypermagnesemia|suspected,1,1
DIAGNOSIS,renal|disorder of acid base|metabolic acidosis|due to acetazolamide,1,1
DIAGNOSIS,transplant|s/p kidney transplant|fever - kidney transplant|postop < 48 hours,1,1
DIAGNOSIS,surgery|renal issues|anuria|etiology unknown,1,1
DIAGNOSIS,renal|electrolyte imbalance|hyperkalemia|due to mineralocorticoid excess,1,1
DIAGNOSIS,renal|disorder of kidney|acute renal failure|due to nephrotoxic agents|amphotericin,1,1
DIAGNOSIS,endocrine|fluids and electrolytes|hypocalcemia|due to adrenal insufficiency,1,1
DIAGNOSIS,surgery|acute cardiac problems|hypertension|renal artery stenosis,1,1
DIAGNOSIS,endocrine|diagnostic studies|ct scan|adrenals,1,1
PASTHISTORY,notes/progress notes/past history/organ systems/renal  (r)/renal failure/renal failure - hemodialysis | renal failure - hemodialysis | renal failure - hemodialysis,12043,6961
PASTHISTORY,notes/progress notes/past history/organ systems/renal  (r)/renal insufficiency/renal insufficiency - creatinine 1-2 | renal insufficiency - creatinine 1-2 | renal insufficiency - creatinine 1-2,10263,4381
PASTHISTORY,notes/progress notes/past history/organ systems/renal  (r)/renal insufficiency/renal insufficiency - baseline creatinine unknown | renal insufficiency - baseline creatinine unknown | renal insufficiency - baseline creatinine unknown,7416,5500
PASTHISTORY,notes/progress notes/past history/organ systems/renal  (r)/renal failure/renal failure- not currently dialyzed | renal failure- not currently dialyzed | renal failure- not currently dialyzed,6712,3492
PASTHISTORY,notes/progress notes/past history/organ systems/renal  (r)/renal insufficiency/renal insufficiency - creatinine 2-3 | renal insufficiency - creatinine 2-3 | renal insufficiency - creatinine 2-3,3584,1576
PASTHISTORY,notes/progress notes/past history/organ systems/renal  (r)/chronic stone disease/chronic kidney stones | chronic kidney stones | chronic kidney stones,2950,1893
PASTHISTORY,notes/progress notes/past history/organ systems/renal  (r)/s/p renal transplant/s/p renal transplant | s/p renal transplant | s/p renal transplant,1734,908
PASTHISTORY,notes/progress notes/past history/organ systems/hematology/oncology (r)/cancer/cancer-primary site/kidney | kidney | kidney,1389,860
PASTHISTORY,notes/progress notes/past history/organ systems/renal  (r)/renal failure/renal failure - peritoneal dialysis | renal failure - peritoneal dialysis | renal failure - peritoneal dialysis,1195,587
PASTHISTORY,notes/progress notes/past history/organ systems/renal  (r)/renal insufficiency/renal insufficiency - creatinine 3-4 | renal insufficiency - creatinine 3-4 | renal insufficiency - creatinine 3-4,1181,577
PASTHISTORY,notes/progress notes/past history/organ systems/renal  (r)/neurogenic bladder/neurogenic bladder | neurogenic bladder | neurogenic bladder,614,327
PASTHISTORY,notes/progress notes/past history/organ systems/renal  (r)/renal insufficiency/renal insufficiency - creatinine > 5 | renal insufficiency - creatinine > 5 | renal insufficiency - creatinine > 5,438,236
PASTHISTORY,notes/progress notes/past history/organ systems/renal  (r)/renal insufficiency/renal insufficiency - creatinine 4-5 | renal insufficiency - creatinine 4-5 | renal insufficiency - creatinine 4-5,436,223
PASTHISTORY,notes/progress notes/past history/organ systems/renal  (r)/rta/renal tubular acidosis | renal tubular acidosis | renal tubular acidosis,104,12
TREATMENT,renal|urinary catheters|foley catheter,40672,7736
TREATMENT,renal|consultations|nephrology consultation,21190,5402
TREATMENT,renal|intravenous fluid|normal saline administration,17477,4762
TREATMENT,renal|dialysis|hemodialysis,16916,5110
TREATMENT,renal|electrolyte correction|electrolyte administration,16769,2942
TREATMENT,renal|electrolyte correction|electrolyte administration|potassium,16413,3806
TREATMENT,renal|electrolyte correction|electrolyte administration|magnesium,12848,2919
TREATMENT,renal|medications|bicarbonate|sodium bicarbonate,10501,3110
TREATMENT,renal|electrolyte correction|electrolyte administration|intravenous,9785,2002
TREATMENT,renal|medications|intravenous diuretic|iv furosemide,9427,2181
TREATMENT,renal|dialysis|c v v h d,5563,1138
TREATMENT,renal|electrolyte correction|electrolyte administration|calcium,5031,892
TREATMENT,renal|dialysis|hemodialysis|for chronic renal failure,4526,1383
TREATMENT,renal|medications|bicarbonate,4236,1490
TREATMENT,renal|procedures/radiology|renal ultrasound,3144,895
TREATMENT,renal|dialysis|hemodialysis|for acute renal failure,3034,668
TREATMENT,renal|intravenous fluid|lactated ringer's administration,2933,692
TREATMENT,endocrine|adrenal disorders|glucocorticoids|hydrocortisone,2841,536
TREATMENT,renal|medications|intravenous diuretic,2829,779
TREATMENT,renal|consultations|urology consultation,2738,750
TREATMENT,endocrine|adrenal disorders|glucocorticoids|methylprednisolone,2576,686
TREATMENT,renal|electrolyte correction|electrolyte administration|phosphate,2456,529
TREATMENT,renal|dialysis|insertion of venous catheter for hemodialysis,2292,595
TREATMENT,renal|intravenous fluid|normal saline administration|fluid bolus (250-1000mls),2277,932
TREATMENT,renal|intravenous fluid|colloid administration|albumin,2214,399
TREATMENT,renal|electrolyte correction|treatment of hyperkalemia|kayexalate,2010,733
TREATMENT,renal|electrolyte correction|electrolyte administration|oral,1928,498
TREATMENT,renal|electrolyte correction|treatment of hyperkalemia|insulin / glucose,1880,660
TREATMENT,renal|medications|intravenous diuretic|bumetanide,1860,327
TREATMENT,renal|intravenous fluid|heparin lock iv fluids,1705,231
TREATMENT,renal|dialysis|c v v h,1550,330
TREATMENT,renal|dialysis|hemodialysis|emergent,1548,580
TREATMENT,renal|electrolyte correction|treatment of hyperkalemia|intravenous calcium,1375,510
TREATMENT,renal|electrolyte correction|treatment of hypernatremia|free water administration,1354,191
TREATMENT,renal|intravenous fluid|normal saline administration|moderate volume resuscitation (150-250 mls/hr),1153,385
TREATMENT,renal|medications|antibacterials,1138,602
TREATMENT,renal|medications|intravenous diuretic|iv diuretic - continuous infusion,1111,290
TREATMENT,renal|procedures/radiology|insertion of venous catheter for hemodialysis,1087,288
TREATMENT,endocrine|adrenal disorders|glucocorticoids|prednisone,1050,281
TREATMENT,renal|electrolyte correction|treatment of hyperkalemia,1040,397
TREATMENT,renal|intravenous fluid|normal saline administration|aggressive volume resuscitation (>250 mls/hr),955,491
TREATMENT,renal|medications|oral diuretic|po furosemide,860,298
TREATMENT,renal|electrolyte correction|treatment of hyperkalemia|alkalinization,838,302
TREATMENT,renal|medications|intravenous diuretic|iv diuretic - bolus infusion,780,198
TREATMENT,renal|dialysis|insertion of venous catheter for hemodialysis|percutaneous catheter,775,189
TREATMENT,renal|medications|darbepoetin alfa,735,122
TREATMENT,endocrine|adrenal disorders|glucocorticoids|dexamethasone,692,180
TREATMENT,renal|intravenous fluid|hypotonic fluid administration|d5 half-normal saline,672,211
TREATMENT,renal|procedures/radiology|cystoscopy,668,301
TREATMENT,renal|intravenous fluid|hypotonic fluid administration|d5w,649,191
TREATMENT,renal|dialysis|peritoneal dialysis,634,199
TREATMENT,renal|medications|systemic antibiotics,633,327
TREATMENT,renal|procedures/radiology|insertion of venous catheter for hemodialysis|percutaneous catheter,537,123
TREATMENT,renal|electrolyte correction|vitamin d administration,530,99
TREATMENT,renal|electrolyte correction|treatment of hypernatremia|desmopressin,507,48
TREATMENT,renal|electrolyte correction|treatment of hyponatremia,498,144
TREATMENT,renal|intravenous fluid|hypotonic fluid administration,491,156
TREATMENT,renal|medications|oral diuretic|spironolactone,461,125
TREATMENT,renal|electrolyte correction|treatment of hyperkalemia|beta-agonist nebulized treatment,437,144
TREATMENT,renal|medications|acetazolamide,436,87
TREATMENT,renal|medications|oral diuretic,419,151
TREATMENT,renal|intravenous fluid|hypotonic fluid administration|half-normal saline solution,416,139
TREATMENT,renal|intravenous fluid|hypertonic saline administration,383,116
TREATMENT,endocrine|adrenal disorders|glucocorticoids,381,104
TREATMENT,renal|medications|n-acetylcysteine,375,90
TREATMENT,renal|electrolyte correction|treatment of hyperkalemia|intravenous diuretics,357,145
TREATMENT,renal|medications|erythropoietin,345,77
TREATMENT,renal|dialysis|peritoneal dialysis|for chronic renal failure,344,104
TREATMENT,renal|intravenous fluid|colloid administration,326,67
TREATMENT,renal|electrolyte correction|treatment of hyponatremia|hypertonic fluid,308,111
TREATMENT,renal|electrolyte correction|treatment of hypernatremia|hypotonic fluid,299,79
TREATMENT,renal|dialysis|ultrafiltration (fluid removal only),277,86
TREATMENT,renal|urinary catheters|nephrostomy|left,276,58
TREATMENT,renal|intravenous fluid|lactated ringer's administration|fluid bolus (250-1000mls),267,62
TREATMENT,renal|medications|systemic antibiotics|vancomycin,266,137
TREATMENT,renal|urinary catheters|nephrostomy|right,265,49
TREATMENT,renal|urinary catheters|suprapubic catheter,264,61
TREATMENT,endocrine|adrenal disorders|mineralocorticoids|fludrocortisone,262,52
TREATMENT,renal|electrolyte correction|treatment of hyperkalemia|dialysis,260,112
TREATMENT,renal|medications|systemic antibiotics|cephalosporin,258,89
TREATMENT,renal|electrolyte correction|treatment of hypernatremia,238,58
TREATMENT,renal|urinary catheters|suprapubic catheter|permanent bladder catheter,222,36
TREATMENT,renal|electrolyte correction|treatment of hyponatremia|isotonic fluid,214,68
TREATMENT,renal|consultations|transplant surgery consultation,209,19
TREATMENT,renal|medications|oral diuretic|thiazides,207,56
TREATMENT,renal|intravenous fluid|fluid restriction,202,39
TREATMENT,renal|medications|glucocorticoid administration,190,63
TREATMENT,renal|intravenous fluid|blood product administration,185,42
TREATMENT,renal|dialysis|insertion of venous catheter for hemodialysis|tunneled catheter,176,42
TREATMENT,renal|procedures/radiology|kidney stone procedure,169,66
TREATMENT,renal|intravenous fluid|lactated ringer's administration|moderate volume resuscitation (150-250 mls/hr),167,46
TREATMENT,renal|medications|oral diuretic|metolazone (zaroxolyn),163,34
TREATMENT,renal|medications|intravenous diuretic|chlorothiazide,152,26
TREATMENT,renal|electrolyte correction|treatment of hyponatremia|fluid restriction,151,48
TREATMENT,endocrine|adrenal disorders|glucocorticoids|stress doses,149,25
TREATMENT,renal|procedures/radiology|insertion of venous catheter for hemodialysis|tunneled catheter,148,30
TREATMENT,renal|urinary catheters|ureteral stenting,148,39
TREATMENT,renal|procedures/radiology|kidney biopsy,143,41
TREATMENT,renal|medications|systemic antibiotics|quinolone,142,54
TREATMENT,renal|medications|systemic antibiotics|penicillins,142,60
TREATMENT,renal|medications|analgesics|narcotic analgesic,136,51
TREATMENT,renal|procedures/radiology|plasmapheresis,133,45
TREATMENT,renal|medications|immunosuppressive therapy|tacrolimus,133,42
TREATMENT,renal|medications|analgesics,128,100
TREATMENT,endocrine|adrenal disorders|glucocorticoids|prednisolone,126,36
TREATMENT,renal|urinary catheters|nephrostomy,117,38
TREATMENT,renal|electrolyte correction|electrolyte administration|hypertonic saline,111,39
TREATMENT,renal|medications|glucocorticoid administration|oral,106,32
TREATMENT,renal|intravenous fluid|blood product administration|packed red blood cells|transfusion of 1-2 units prbc's,104,42
TREATMENT,renal|medications|glucocorticoid administration|parenteral,96,37
TREATMENT,renal|medications|analgesics|non-narcotic analgesic|acetaminophen,92,25
TREATMENT,renal|medications|antifungal therapy|fluconazole,92,27
TREATMENT,renal|urinary catheters|ureteral stenting|left,92,38
TREATMENT,cardiovascular|vascular surgery|dialysis access surgery,86,37
TREATMENT,renal|medications|immunosuppressive therapy|mycophenolate mofetil,85,26
TREATMENT,renal|electrolyte correction|treatment of hypercalcemia|bisphosphonates|pamidronate,85,2
TREATMENT,renal|urinary catheters|ureteral stenting|right,84,35
TREATMENT,renal|intravenous fluid|blood product administration|packed red blood cells|transfusion of > 2 units prbc's,83,30
TREATMENT,renal|medications|analgesics|oral analgesics,83,34
TREATMENT,renal|intravenous fluid|blood product administration|packed red blood cells,82,25
TREATMENT,renal|medications|analgesics|bolus parenteral analgesics,79,32
TREATMENT,renal|intravenous fluid|blood product administration|fresh frozen plasma,78,25
TREATMENT,endocrine|adrenal disorders|normal saline administration,75,31
TREATMENT,renal|procedures/radiology|kidney stone procedure|transurethral,74,31
TREATMENT,renal|electrolyte correction|treatment of hyperphosphatemia,72,10
TREATMENT,renal|medications|n-acetylcysteine|for radiocontrast dye prophylaxis,71,29
TREATMENT,endocrine|adrenal disorders|mineralocorticoids,70,7
TREATMENT,renal|procedures/radiology|kidney stone procedure|with removal of ureteral calculus,70,32
TREATMENT,renal|procedures/radiology|kidney stone procedure|with removal of kidney calculus,70,22
TREATMENT,renal|intravenous fluid|lactated ringer's administration|aggressive volume resuscitation (>250 mls/hr),68,20
TREATMENT,renal|procedures/radiology|pyelogram|retrograde,65,33
TREATMENT,renal|procedures/radiology|arteriovenous shunt for renal dialysis,64,23
